pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"FK1 1AA","FK1  1AA","FK1 1AA","198001","","1","288795","0680221","1","S00107732","S99999999","S99999999","S12000014","S13002941","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000294","S99999999","S01009140","S02001713","S34000289","S03000010","S99999999","S99999999","2","7C3",56.001996,-3.784777,"S99999999","S99999999","S23000009",1652,"S99999999","S99999999"
"FK1 1AD","FK1  1AD","FK1 1AD","198608","199207","1","288795","0680221","8","S00107732","S99999999","S99999999","S12000014","S13002941","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000294","S99999999","S01009140","S02001713","S34000289","S03000010","S99999999","S99999999","2","7C3",56.001996,-3.784777,"S99999999","S99999999","S23000009",1652,"S99999999","S99999999"
"FK1 1AE","FK1  1AE","FK1 1AE","201603","","0","288963","0679843","1","S00107734","S99999999","S99999999","S12000014","S13002942","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000291","S99999999","S01009153","S02001715","S34000291","S03000010","S99999999","S99999999","2","2C2",55.998636,-3.781921,"S99999999","S99999999","S23000009",2926,"S99999999","S99999999"
"FK1 1AT","FK1  1AT","FK1 1AT","197511","199412","1","288700","0680240","8","S00107732","S99999999","S99999999","S12000014","S13002941","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000294","S99999999","S01009140","S02001713","S34000289","S03000010","S99999999","S99999999","2","7C3",56.002144,-3.786307,"S99999999","S99999999","S23000009",1652,"S99999999","S99999999"
"FK1 1AZ","FK1  1AZ","FK1 1AZ","199012","","0","288706","0679645","1","S00107727","S99999999","S99999999","S12000014","S13002942","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000291","S99999999","S01009151","S02001715","S34000286","S03000010","S99999999","S99999999","2","5B3",55.996802,-3.785965,"S99999999","S99999999","S23000009",4493,"S99999999","S99999999"
"FK1 1BA","FK1  1BA","FK1 1BA","198001","","0","288809","0679745","1","S00107727","S99999999","S99999999","S12000014","S13002942","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000291","S99999999","S01009151","S02001715","S34000286","S03000010","S99999999","S99999999","2","5B3",55.997724,-3.784356,"S99999999","S99999999","S23000009",4493,"S99999999","S99999999"
"FK1 1BB","FK1  1BB","FK1 1BB","198001","","0","288754","0679803","1","S00107727","S99999999","S99999999","S12000014","S13002942","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000291","S99999999","S01009151","S02001715","S34000286","S03000010","S99999999","S99999999","2","5B3",55.998228,-3.785254,"S99999999","S99999999","S23000009",4493,"S99999999","S99999999"
"FK1 1BD","FK1  1BD","FK1 1BD","197308","199512","0","288790","0679810","8","S00107727","S99999999","S99999999","S12000014","S13002942","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000291","S99999999","S01009151","S02001715","S34000286","S03000010","S99999999","S99999999","2","5B3",55.998304,-3.784687,"S99999999","S99999999","S23000009",4493,"S99999999","S99999999"
"FK1 1BE","FK1  1BE","FK1 1BE","198001","","0","288614","0679778","1","S00107731","S99999999","S99999999","S12000014","S13002942","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000291","S99999999","S01009151","S02001715","S34001266","S03000010","S99999999","S99999999","2","5B1",55.997975,-3.787494,"S99999999","S99999999","S23000009",4493,"S99999999","S99999999"
"FK1 1BF","FK1  1BF","FK1 1BF","199210","","0","288719","0679698","1","S00107731","S99999999","S99999999","S12000014","S13002942","S08000019","S99999999","S92000003","S99999999","S14000028","S15000001","S09000002","S22000061","S03000010","S31000291","S99999999","S01009151","S02001715","S34001266","S03000010","S99999999","S99999999","2","5B1",55.997281,-3.785778,"S99999999","S99999999","S23000009",4493,"S99999999","S99999999"
