pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"GY1 1AA","GY1  1AA","GY1 1AA","199405","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AB","GY1  1AB","GY1 1AB","199405","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AD","GY1  1AD","GY1 1AD","199405","","0","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AE","GY1  1AE","GY1 1AE","199405","","0","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AF","GY1  1AF","GY1 1AF","199405","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AG","GY1  1AG","GY1 1AG","199405","","0","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AH","GY1  1AH","GY1 1AH","199405","","0","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AJ","GY1  1AJ","GY1 1AJ","199405","","0","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AL","GY1  1AL","GY1 1AL","199405","201103","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AN","GY1  1AN","GY1 1AN","199405","","0","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AP","GY1  1AP","GY1 1AP","199405","","0","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"GY1 1AQ","GY1  1AQ","GY1 1AQ","199405","","0","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000002","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
