pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"HG1 1AA","HG1  1AA","HG1 1AA","199002","","1","430161","0455388","1","E00140959","E10000023","E58001057","E07000165","E05011330","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011330","E99999999","E01027679","E02005779","E33010204","E38000073","E34004646","E35000975","C1","5B2",53.993657,-1.541446,"E37000020","E37000039","E23000009",27353,"E56000003","E54000005"
"HG1 1AB","HG1  1AB","HG1 1AB","201202","","0","430223","0455533","1","E00140975","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010227","E38000073","E34004646","E35000975","C1","2C1",53.994957,-1.540486,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1AD","HG1  1AD","HG1 1AD","199301","201008","0","430325","0455321","1","E00140964","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010215","E38000073","E34004646","E35000975","C1","7A2",53.993046,-1.538951,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1AE","HG1  1AE","HG1 1AE","199301","","0","430329","0455317","1","E00140964","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010215","E38000073","E34004646","E35000975","C1","7A2",53.993009,-1.538891,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1AF","HG1  1AF","HG1 1AF","199301","","0","430329","0455317","1","E00140964","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010215","E38000073","E34004646","E35000975","C1","7A2",53.993009,-1.538891,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1AG","HG1  1AG","HG1 1AG","199301","","0","430329","0455317","1","E00140964","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010215","E38000073","E34004646","E35000975","C1","7A2",53.993009,-1.538891,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1AH","HG1  1AH","HG1 1AH","201209","","0","430119","0455381","1","E00140960","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010208","E38000073","E34004646","E35000975","C1","2C1",53.993597,-1.542087,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1AQ","HG1  1AQ","HG1 1AQ","200701","200701","1","431404","0456372","1","E00140817","E10000023","E58001057","E07000165","E05011319","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011319","E99999999","E01027649","E02005773","E33010184","E38000073","E34004646","E35000975","C1","8D2",54.002427,-1.522386,"E37000020","E37000039","E23000009",16416,"E56000003","E54000005"
"HG1 1AX","HG1  1AX","HG1 1AX","200309","","0","430313","0455597","1","E00140975","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010227","E38000073","E34004646","E35000975","C1","2C1",53.995527,-1.539107,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1AY","HG1  1AY","HG1 1AY","200206","200801","0","431404","0456372","5","E00140817","E10000023","E58001057","E07000165","E05011319","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011319","E99999999","E01027649","E02005773","E33010184","E38000073","E34004646","E35000975","C1","8D2",54.002427,-1.522386,"E37000020","E37000039","E23000009",16416,"E56000003","E54000005"
"HG1 1BA","HG1  1BA","HG1 1BA","198001","","0","430364","0455599","1","E00140975","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010226","E38000073","E34004646","E35000975","C1","2C1",53.995542,-1.538329,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1BB","HG1  1BB","HG1 1BB","198001","","0","430341","0455630","1","E00140975","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010227","E38000073","E34004646","E35000975","C1","2C1",53.995837,-1.538682,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1BE","HG1  1BE","HG1 1BE","198001","","0","430398","0455626","1","E00140975","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027678","E02005775","E33010227","E38000073","E34004646","E35000975","C1","2C1",53.995782,-1.537808,"E37000020","E37000039","E23000009",11515,"E56000003","E54000005"
"HG1 1BH","HG1  1BH","HG1 1BH","198001","199212","1","430200","0454800","8","E00140966","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027679","E02005779","E33010222","E38000073","E34004646","E35000975","C1","2C1",53.988370,-1.540909,"E37000020","E37000039","E23000009",27353,"E56000003","E54000005"
"HG1 1BJ","HG1  1BJ","HG1 1BJ","198001","","0","430269","0454812","1","E00140966","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027679","E02005779","E33010220","E38000073","E34004646","E35000975","C1","2C1",53.988474,-1.539856,"E37000020","E37000039","E23000009",27353,"E56000003","E54000005"
"HG1 1BL","HG1  1BL","HG1 1BL","198001","","0","430229","0454938","1","E00140966","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027679","E02005779","E33010222","E38000073","E34004646","E35000975","C1","2C1",53.989609,-1.540454,"E37000020","E37000039","E23000009",27353,"E56000003","E54000005"
"HG1 1BN","HG1  1BN","HG1 1BN","198001","198212","1","430200","0454900","8","E00140966","E10000023","E58001057","E07000165","E05011314","E18000003","E40000001","E92000001","E12000003","E14000730","E15000003","E24000044","E30000214","E16000099","E05011314","E99999999","E01027679","E02005779","E33010222","E38000073","E34004646","E35000975","C1","2C1",53.989269,-1.540900,"E37000020","E37000039","E23000009",27353,"E56000003","E54000005"
