pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"HR1 1AA","HR1  1AA","HR1 1AA","199002","","1","351418","0240501","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060745,-2.710027,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 1AB","HR1  1AB","HR1 1AB","201205","","0","351331","0242130","1","E00070704","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000847","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01014007","E02002915","E33021418","E38000078","E34004334","E35999999","C1","1C2",52.075382,-2.711528,"E37000036","","E23000016",22183,"E56000007","E54000019"
"HR1 1AD","HR1  1AD","HR1 1AD","200808","","0","351857","0241364","1","E00070596","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01013987","E02002915","E33021419","E38000078","E34004334","E35999999","C1","5B3",52.068542,-2.703746,"E37000036","","E23000016",27318,"E56000007","E54000019"
"HR1 1AE","HR1  1AE","HR1 1AE","201307","","0","351306","0242206","1","E00070704","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000847","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01014007","E02002915","E33021418","E38000078","E34004334","E35999999","C1","1C2",52.076063,-2.711904,"E37000036","","E23000016",22183,"E56000007","E54000019"
"HR1 1AF","HR1  1AF","HR1 1AF","201312","","0","351403","0242229","1","E00070704","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000847","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01014007","E02002915","E33021418","E38000078","E34004334","E35999999","C1","1C2",52.076278,-2.710492,"E37000036","","E23000016",22183,"E56000007","E54000019"
"HR1 1AG","HR1  1AG","HR1 1AG","201501","","0","352216","0241423","1","E00070596","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01013987","E02002915","E33021419","E38000078","E34004334","E35999999","C1","5B3",52.069103,-2.698518,"E37000036","","E23000016",27318,"E56000007","E54000019"
"HR1 1AH","HR1  1AH","HR1 1AH","198710","","0","351735","0241673","1","E00070594","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01013987","E02002915","E33021419","E38000078","E34004334","E35999999","C1","8A1",52.071309,-2.705570,"E37000036","","E23000016",27318,"E56000007","E54000019"
"HR1 1AJ","HR1  1AJ","HR1 1AJ","198710","","0","351719","0241654","1","E00070594","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01013987","E02002915","E33021419","E38000078","E34004334","E35999999","C1","8A1",52.071137,-2.705800,"E37000036","","E23000016",27318,"E56000007","E54000019"
"HR1 1AL","HR1  1AL","HR1 1AL","198710","","0","351793","0241668","1","E00070594","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01013987","E02002915","E33021419","E38000078","E34004334","E35999999","C1","8A1",52.071269,-2.704723,"E37000036","","E23000016",27318,"E56000007","E54000019"
"HR1 1AN","HR1  1AN","HR1 1AN","198710","","0","351935","0241668","1","E00070594","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01013987","E02002915","E33021419","E38000078","E34004334","E35999999","C1","8A1",52.071281,-2.702651,"E37000036","","E23000016",27318,"E56000007","E54000019"
"HR1 1AP","HR1  1AP","HR1 1AP","198710","","0","351688","0241580","1","E00070594","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01013987","E02002915","E33021419","E38000078","E34004334","E35999999","C1","8A1",52.070469,-2.706242,"E37000036","","E23000016",27318,"E56000007","E54000019"
"HR1 1AQ","HR1  1AQ","HR1 1AQ","201103","","0","352321","0241075","1","E00070596","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01013987","E02002915","E33021419","E38000078","E34004334","E35999999","C1","5B3",52.065984,-2.696937,"E37000036","","E23000016",27318,"E56000007","E54000019"
"HR1 1AR","HR1  1AR","HR1 1AR","198710","","0","351742","0241585","1","E00070594","E99999999","E99999999","E06000019","E05009460","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009460","E99999999","E01013987","E02002915","E33021419","E38000078","E34004334","E35999999","C1","8A1",52.070518,-2.705455,"E37000036","","E23000016",27318,"E56000007","E54000019"
"HR1 1AS","HR1  1AS","HR1 1AS","198710","","0","351705","0241465","1","E00070598","E99999999","E99999999","E06000019","E05009450","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009450","E99999999","E01013989","E02002916","E33021422","E38000078","E34004334","E35999999","C1","8D2",52.069436,-2.705978,"E37000036","","E23000016",10516,"E56000007","E54000019"
"HR1 1AT","HR1  1AT","HR1 1AT","198604","","0","353597","0239649","1","E00071153","E99999999","E99999999","E06000019","E05009486","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009486","E99999999","E01014093","E02002918","E33021431","E38000078","E34004334","E35999999","C1","6B2",52.053273,-2.678130,"E37000036","","E23000016",18636,"E56000007","E54000019"
"HR1 1AU","HR1  1AU","HR1 1AU","198604","","0","353615","0239700","1","E00071153","E99999999","E99999999","E06000019","E05009486","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009486","E99999999","E01014093","E02002918","E33021431","E38000078","E34004334","E35999999","C1","6B2",52.053733,-2.677875,"E37000036","","E23000016",18636,"E56000007","E54000019"
"HR1 1AW","HR1  1AW","HR1 1AW","198710","","0","351696","0241535","1","E00070598","E99999999","E99999999","E06000019","E05009450","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009450","E99999999","E01013989","E02002916","E33021422","E38000078","E34004334","E35999999","C1","8D2",52.070065,-2.706119,"E37000036","","E23000016",10516,"E56000007","E54000019"
"HR1 1AX","HR1  1AX","HR1 1AX","198604","","0","353699","0239624","1","E00070614","E99999999","E99999999","E06000019","E05009440","E18000005","E40000002","E92000001","E12000005","E14000847","E15000005","E24000042","E30000216","E16000015","E05009440","E99999999","E01013990","E02002922","E33021445","E38000078","E34999999","E35999999","D1","1C3",52.053057,-2.676640,"E37000036","","E23000016",24126,"E56000007","E54000019"
