pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"HS1 2AA","HS1  2AA","HS1 2AA","199507","201511","1","142807","0932745","1","S00135181","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001170","S99999999","S01009041","S02001693","S34000719","S03000041","S99999999","S99999999","5","5B2",58.208198,-6.380042,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2AB","HS1  2AB","HS1 2AB","199707","199801","1","142627","0932792","8","S00135181","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001170","S99999999","S01009041","S02001693","S34000719","S03000041","S99999999","S99999999","5","5B2",58.208514,-6.383148,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2AD","HS1  2AD","HS1 2AD","199507","","1","142442","0932834","1","S00135182","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001171","S99999999","S01009041","S02001693","S34000723","S03000041","S99999999","S99999999","5","7A2",58.208782,-6.386334,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2AE","HS1  2AE","HS1 2AE","199706","","0","142415","0932627","1","S00135182","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001171","S99999999","S01009041","S02001693","S34000722","S03000041","S99999999","S99999999","5","7A2",58.206912,-6.386563,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2AF","HS1  2AF","HS1 2AF","199507","","1","142644","0934195","1","S00135199","S99999999","S99999999","S12000013","S13002606","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001166","S99999999","S01009045","S02001694","S34001183","S03000041","S99999999","S99999999","5","5B2",58.221088,-6.384411,"S99999999","S99999999","S23000009",4316,"S99999999","S99999999"
"HS1 2AG","HS1  2AG","HS1 2AG","201203","","0","142732","0933314","1","S00135192","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001170","S99999999","S01009041","S02001693","S34001180","S03000041","S99999999","S99999999","5","1B3",58.213219,-6.381949,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2AH","HS1  2AH","HS1 2AH","201709","","0","142003","0934187","1","S00135194","S99999999","S99999999","S12000013","S13002606","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001167","S99999999","S01009038","S02001693","S34001179","S03000041","S99999999","S99999999","5","8A2",58.220611,-6.395287,"S99999999","S99999999","S23000009",3552,"S99999999","S99999999"
"HS1 2AY","HS1  2AY","HS1 2AY","200608","200708","1","142807","0932745","1","S00135181","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001170","S99999999","S01009041","S02001693","S34000719","S03000041","S99999999","S99999999","5","5B2",58.208198,-6.380042,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2BA","HS1  2BA","HS1 2BA","199507","","1","142181","0932764","1","S00135182","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001171","S99999999","S01009041","S02001693","S34000722","S03000041","S99999999","S99999999","5","7A2",58.208003,-6.390684,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2BB","HS1  2BB","HS1 2BB","199507","","1","142467","0932715","1","S00135182","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001171","S99999999","S01009041","S02001693","S34000723","S03000041","S99999999","S99999999","5","7A2",58.207731,-6.385778,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2BD","HS1  2BD","HS1 2BD","199507","","0","142213","0932792","1","S00135182","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001171","S99999999","S01009041","S02001693","S34000722","S03000041","S99999999","S99999999","5","7A2",58.208272,-6.390172,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2BE","HS1  2BE","HS1 2BE","199507","","0","142240","0932764","1","S00135182","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001171","S99999999","S01009041","S02001693","S34000722","S03000041","S99999999","S99999999","5","7A2",58.208037,-6.389683,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
"HS1 2BG","HS1  2BG","HS1 2BG","199507","","1","142260","0932769","1","S00135182","S99999999","S99999999","S12000013","S13002605","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001171","S99999999","S01009041","S02001693","S34000722","S03000041","S99999999","S99999999","5","7A2",58.208094,-6.389350,"S99999999","S99999999","S23000009",2112,"S99999999","S99999999"
