pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"HX1 1AA","HX1  1AA","HX1 1AA","199002","","1","409503","0425335","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009378","E38000025","E34004684","E35000317","A1","2C1",53.724334,-1.857458,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1AB","HX1  1AB","HX1 1AB","201209","201504","0","409309","0425466","1","E00055409","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33011758","E38000025","E34004684","E35000317","A1","7D4",53.725515,-1.860394,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1AD","HX1  1AD","HX1 1AD","198001","","1","409258","0425086","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009379","E38000025","E34004684","E35000317","A1","2C1",53.722101,-1.861178,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1AE","HX1  1AE","HX1 1AE","201209","","0","409240","0425238","1","E00055408","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009390","E38000025","E34004684","E35000317","A1","2C2",53.723467,-1.861447,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1AF","HX1  1AF","HX1 1AF","201310","","0","409490","0425021","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009383","E38000025","E34004684","E35000317","A1","2C1",53.721512,-1.857664,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1AG","HX1  1AG","HX1 1AG","201806","","0","409490","0425021","5","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009383","E38000025","E34004684","E35000317","A1","2C1",53.721527,-1.857666,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BA","HX1  1BA","HX1 1BA","198301","198612","1","409200","0425100","8","E00055408","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009388","E38000025","E34004684","E35000317","A1","2C2",53.722227,-1.862057,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BB","HX1  1BB","HX1 1BB","199507","","1","409214","0425097","1","E00055408","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009388","E38000025","E34004684","E35000317","A1","2C2",53.722200,-1.861845,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BD","HX1  1BD","HX1 1BD","198001","199912","1","409290","0425067","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009379","E38000025","E34004684","E35000317","A1","2C1",53.721929,-1.860694,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BE","HX1  1BE","HX1 1BE","198001","","0","409238","0425015","1","E00055411","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009398","E38000025","E34004684","E35000317","A1","2C1",53.721463,-1.861483,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BG","HX1  1BG","HX1 1BG","199308","200609","1","409508","0425333","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009378","E38000025","E34004684","E35000317","A1","2C1",53.724316,-1.857382,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BH","HX1  1BH","HX1 1BH","198001","200408","1","409508","0425333","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009378","E38000025","E34004684","E35000317","A1","2C1",53.724316,-1.857382,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BJ","HX1  1BJ","HX1 1BJ","198001","199912","1","409290","0425067","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009379","E38000025","E34004684","E35000317","A1","2C1",53.721929,-1.860694,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BL","HX1  1BL","HX1 1BL","198001","199112","0","409300","0425100","8","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009379","E38000025","E34004684","E35000317","A1","2C1",53.722226,-1.860541,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BN","HX1  1BN","HX1 1BN","198001","198612","1","409200","0425100","8","E00055408","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009388","E38000025","E34004684","E35000317","A1","2C2",53.722227,-1.862057,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BP","HX1  1BP","HX1 1BP","198001","","0","409225","0424993","1","E00055411","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009398","E38000025","E34004684","E35000317","A1","2C1",53.721265,-1.861681,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BQ","HX1  1BQ","HX1 1BQ","198001","198212","1","409300","0425300","8","E00055408","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009390","E38000025","E34004684","E35000317","A1","2C2",53.724023,-1.860535,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BS","HX1  1BS","HX1 1BS","198001","","0","409291","0424990","1","E00055411","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009394","E38000025","E34004684","E35000317","A1","2C1",53.721237,-1.860681,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BT","HX1  1BT","HX1 1BT","198001","","1","409288","0425101","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009379","E38000025","E34004684","E35000317","A1","2C1",53.722235,-1.860723,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BU","HX1  1BU","HX1 1BU","200701","200701","0","409228","0424992","1","E00055411","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009398","E38000025","E34004684","E35000317","A1","2C1",53.721256,-1.861636,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BW","HX1  1BW","HX1 1BW","198001","","0","409298","0425037","1","E00055411","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009398","E38000025","E34004684","E35000317","A1","2C1",53.721660,-1.860574,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BX","HX1  1BX","HX1 1BX","198001","","0","409323","0424928","1","E00055411","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009394","E38000025","E34004684","E35000317","A1","2C1",53.720679,-1.860198,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BY","HX1  1BY","HX1 1BY","198001","199405","1","409200","0424900","8","E00055411","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009396","E38000025","E34004684","E35000317","A1","2C1",53.720430,-1.862063,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1BZ","HX1  1BZ","HX1 1BZ","198303","199012","1","407300","0425800","8","E00055089","E99999999","E99999999","E08000033","E05001387","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001387","E99999999","E01010930","E02002253","E33011763","E38000025","E34004684","E35000317","A1","5A3",53.728549,-1.890834,"E37000020","","E23000010",4060,"E56000003","E54000005"
"HX1 1DA","HX1  1DA","HX1 1DA","198001","199405","1","409300","0424900","8","E00055411","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009394","E38000025","E34004684","E35000317","A1","2C1",53.720428,-1.860547,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1DB","HX1  1DB","HX1 1DB","198001","200604","1","409367","0424973","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009379","E38000025","E34004684","E35000317","A1","2C1",53.721083,-1.859530,"E37000020","","E23000010",1237,"E56000003","E54000005"
"HX1 1DD","HX1  1DD","HX1 1DD","198001","","0","409365","0424971","1","E00055407","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010994","E02002251","E33009379","E38000025","E34004684","E35000317","A1","2C1",53.721080,-1.859562,"E37000020","","E23000010",1237,"E56000003","E54000005"
