pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"IG1 1AA","IG1  1AA","IG1 1AA","199002","200308","1","543738","0186409","1","E00018544","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003689","E02000780","E33030482","E38000138","E34004707","E35001173","A1","3A2",51.558255,0.072064,"E37000023","","E23000001",4619,"E57000002","E54000029"
"IG1 1AB","IG1  1AB","IG1 1AB","198710","201502","1","543738","0186409","1","E00018544","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003689","E02000780","E33030482","E38000138","E34004707","E35001173","A1","3A2",51.558255,0.072064,"E37000023","","E23000001",4619,"E57000002","E54000029"
"IG1 1AD","IG1  1AD","IG1 1AD","199706","200108","1","543760","0186389","1","E00018544","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003689","E02000780","E33030485","E38000138","E34004707","E35001173","A1","3A2",51.558070,0.072373,"E37000023","","E23000001",4619,"E57000002","E54000029"
"IG1 1AE","IG1  1AE","IG1 1AE","199612","199712","1","544397","0186260","6","E00018550","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003688","E02000780","E33035734","E38000138","E34004707","E35001173","A1","4B1",51.556748,0.081502,"E37000023","","E23000001",9074,"E57000002","E54000029"
"IG1 1AF","IG1  1AF","IG1 1AF","199612","199906","1","544397","0186260","6","E00018550","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003688","E02000780","E33035734","E38000138","E34004707","E35001173","A1","4B1",51.556748,0.081502,"E37000023","","E23000001",9074,"E57000002","E54000029"
"IG1 1AG","IG1  1AG","IG1 1AG","199512","","1","543761","0186342","1","E00018544","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003689","E02000780","E33035731","E38000138","E34004707","E35001173","A1","3A2",51.557648,0.072368,"E37000023","","E23000001",4619,"E57000002","E54000029"
"IG1 1AH","IG1  1AH","IG1 1AH","199109","199912","1","544402","0186252","6","E00018550","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003688","E02000780","E33035734","E38000138","E34004707","E35001173","A1","4B1",51.556675,0.081571,"E37000023","","E23000001",9074,"E57000002","E54000029"
"IG1 1AJ","IG1  1AJ","IG1 1AJ","199507","199606","1","543700","0186400","8","E00018544","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003689","E02000780","E33030482","E38000138","E34004707","E35001173","A1","3A2",51.558184,0.071513,"E37000023","","E23000001",4619,"E57000002","E54000029"
"IG1 1AL","IG1  1AL","IG1 1AL","199507","199708","1","543738","0186409","8","E00018544","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003689","E02000780","E33030482","E38000138","E34004707","E35001173","A1","3A2",51.558255,0.072064,"E37000023","","E23000001",4619,"E57000002","E54000029"
"IG1 1AN","IG1  1AN","IG1 1AN","199606","199912","1","544397","0186260","6","E00018550","E99999999","E99999999","E09000026","E05011240","E18000007","E40000003","E92000001","E12000007","E14000760","E15000007","E24000015","E30000234","E16000083","E05011240","E99999999","E01003688","E02000780","E33035734","E38000138","E34004707","E35001173","A1","4B1",51.556748,0.081502,"E37000023","","E23000001",9074,"E57000002","E54000029"
