pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"IM1 1AA","IM1  1AA","IM1 1AA","199405","199912","1","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AD","IM1  1AD","IM1 1AD","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AE","IM1  1AE","IM1 1AE","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AF","IM1  1AF","IM1 1AF","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AG","IM1  1AG","IM1 1AG","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AH","IM1  1AH","IM1 1AH","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AJ","IM1  1AJ","IM1 1AJ","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AL","IM1  1AL","IM1 1AL","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AN","IM1  1AN","IM1 1AN","200106","200407","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AP","IM1  1AP","IM1 1AP","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AQ","IM1  1AQ","IM1 1AQ","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AR","IM1  1AR","IM1 1AR","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AS","IM1  1AS","IM1 1AS","199405","201105","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AT","IM1  1AT","IM1 1AT","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AU","IM1  1AU","IM1 1AU","199405","201105","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AW","IM1  1AW","IM1 1AW","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AX","IM1  1AX","IM1 1AX","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AY","IM1  1AY","IM1 1AY","199405","200910","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1AZ","IM1  1AZ","IM1 1AZ","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1BA","IM1  1BA","IM1 1BA","199405","199712","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1BB","IM1  1BB","IM1 1BB","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1BD","IM1  1BD","IM1 1BD","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1BE","IM1  1BE","IM1 1BE","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1BF","IM1  1BF","IM1 1BF","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1BG","IM1  1BG","IM1 1BG","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1BH","IM1  1BH","IM1 1BH","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
"IM1 1BJ","IM1  1BJ","IM1 1BJ","199405","","0","","","9","M99999999","M99999999","M99999999","M99999999","M99999999","M00000001","M99999999","M83000003","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","M99999999","M99999999","M99999999","M01000001","M99999999","M99999999","Z9","9Z9",99.999999,0.000000,"M99999999","M99999999","M99999999",0,"M99999999","M99999999"
