pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"JE1 0BD","JE1  0BD","JE1 0BD","199906","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 0BR","JE1  0BR","JE1 0BR","200610","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 0DF","JE1  0DF","JE1 0DF","200206","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 0DJ","JE1  0DJ","JE1 0DJ","200508","201203","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 0FS","JE1  0FS","JE1 0FS","199906","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 0UG","JE1  0UG","JE1 0UG","200505","201203","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 0WL","JE1  0WL","JE1 0WL","200206","200903","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 1AA","JE1  1AA","JE1 1AA","199507","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 1AB","JE1  1AB","JE1 1AB","199507","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 1AD","JE1  1AD","JE1 1AD","200810","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
"JE1 1AE","JE1  1AE","JE1 1AE","199712","","1","","","9","L99999999","L99999999","L99999999","L99999999","L99999999","L00000001","L99999999","L93000001","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","L99999999","Z9","9Z9",99.999999,0.000000,"L99999999","L99999999","L99999999",0,"L99999999","L99999999"
