pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"KW1 4AA","KW1  4AA","KW1 4AA","198001","","1","336421","0950959","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442284,-3.090782,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AB","KW1  4AB","KW1 4AB","198001","","1","336404","0950975","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442425,-3.091078,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AD","KW1  4AD","KW1 4AD","198001","199912","1","336407","0950964","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442326,-3.091024,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AE","KW1  4AE","KW1 4AE","198001","201002","0","336407","0950964","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442326,-3.091024,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AF","KW1  4AF","KW1 4AF","198001","201606","0","336404","0950975","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442425,-3.091078,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AG","KW1  4AG","KW1 4AG","198001","","1","336294","0950911","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.441834,-3.092944,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AH","KW1  4AH","KW1 4AH","198001","","0","336350","0950960","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442282,-3.091999,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AJ","KW1  4AJ","KW1 4AJ","198001","","0","336328","0950955","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442220,-3.092380,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AL","KW1  4AL","KW1 4AL","198001","199606","1","336300","0950930","8","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442006,-3.092847,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AN","KW1  4AN","KW1 4AN","198001","200209","1","336294","0950911","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.441834,-3.092944,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AP","KW1  4AP","KW1 4AP","198001","","0","336298","0950878","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.441538,-3.092866,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AQ","KW1  4AQ","KW1 4AQ","198001","199806","0","336390","0950940","8","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442108,-3.091308,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AR","KW1  4AR","KW1 4AR","199009","","0","336455","0950959","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.442274,-3.090206,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4AW","KW1  4AW","KW1 4AW","198001","201402","1","336302","0950920","1","S00118925","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001042","S99999999","S01010782","S02002028","S34001805","S03000044","S99999999","S99999999","5","7A2",58.441916,-3.092810,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4BP","KW1  4BP","KW1 4BP","198001","","0","336316","0951025","1","S00118924","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001043","S99999999","S01010782","S02002028","S34001668","S03000044","S99999999","S99999999","5","7D3",58.442861,-3.092599,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4BS","KW1  4BS","KW1 4BS","198001","","0","336295","0951084","1","S00118924","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001043","S99999999","S01010782","S02002028","S34001668","S03000044","S99999999","S99999999","5","7D3",58.443388,-3.092975,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
"KW1 4BT","KW1  4BT","KW1 4BT","197308","199207","1","336310","0951020","8","S00118924","S99999999","S99999999","S12000017","S13002992","S08000022","S99999999","S92000003","S99999999","S14000009","S15000001","S09000003","S22000083","S03000044","S31001043","S99999999","S01010782","S02002028","S34001668","S03000044","S99999999","S99999999","5","7D3",58.442815,-3.092700,"S99999999","S99999999","S23000009",1880,"S99999999","S99999999"
