pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"PH1 1AA","PH1  1AA","PH1 1AA","198001","","1","310773","0724369","1","S00126572","S99999999","S99999999","S12000048","S13003073","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000348","S99999999","S01011933","S02002237","S34002243","S03000040","S99999999","S99999999","2","5B3",56.403109,-3.447357,"S99999999","S99999999","S23000009",2064,"S99999999","S99999999"
"PH1 1AB","PH1  1AB","PH1 1AB","200906","","0","301197","0721430","1","S00127106","S99999999","S99999999","S12000048","S13003071","S08000027","S99999999","S92000003","S99999999","S14000050","S15000001","S09000005","S22000074","S03000040","S31000354","S99999999","S01011872","S02002227","S34002268","S03000040","S99999999","S99999999","6","1A1",56.374799,-3.601341,"S99999999","S99999999","S23000009",4800,"S99999999","S99999999"
"PH1 1BA","PH1  1BA","PH1 1BA","198001","","0","310440","0723426","1","S00126504","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000348","S99999999","S01011898","S02002231","S34002315","S03000040","S99999999","S99999999","2","5B1",56.394577,-3.452428,"S99999999","S99999999","S23000009",6791,"S99999999","S99999999"
"PH1 1BB","PH1  1BB","PH1 1BB","198001","","0","310354","0723363","1","S00126500","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000348","S99999999","S01011895","S02002231","S34002315","S03000040","S99999999","S99999999","2","6A2",56.393995,-3.453799,"S99999999","S99999999","S23000009",6915,"S99999999","S99999999"
"PH1 1BD","PH1  1BD","PH1 1BD","198001","","0","310269","0723347","1","S00126500","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000348","S99999999","S01011895","S02002231","S34002315","S03000040","S99999999","S99999999","2","6A2",56.393835,-3.455170,"S99999999","S99999999","S23000009",6915,"S99999999","S99999999"
"PH1 1BE","PH1  1BE","PH1 1BE","198001","","0","310419","0722970","1","S00126499","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011897","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A4",56.390477,-3.452612,"S99999999","S99999999","S23000009",6757,"S99999999","S99999999"
"PH1 1BG","PH1  1BG","PH1 1BG","198001","","0","310178","0722667","1","S00126495","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011901","S02002232","S34002370","S03000040","S99999999","S99999999","2","5B3",56.387710,-3.456411,"S99999999","S99999999","S23000009",6726,"S99999999","S99999999"
"PH1 1BH","PH1  1BH","PH1 1BH","198001","","0","310450","0723240","1","S00126502","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000348","S99999999","S01011895","S02002231","S34002370","S03000040","S99999999","S99999999","2","1C3",56.392908,-3.452203,"S99999999","S99999999","S23000009",6915,"S99999999","S99999999"
"PH1 1BJ","PH1  1BJ","PH1 1BJ","199606","","0","310342","0723242","1","S00126500","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000348","S99999999","S01011895","S02002231","S34002315","S03000040","S99999999","S99999999","2","6A2",56.392906,-3.453952,"S99999999","S99999999","S23000009",6915,"S99999999","S99999999"
"PH1 1BL","PH1  1BL","PH1 1BL","198001","","0","310338","0723204","1","S00126502","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000348","S99999999","S01011895","S02002231","S34002370","S03000040","S99999999","S99999999","2","1C3",56.392564,-3.454004,"S99999999","S99999999","S23000009",6915,"S99999999","S99999999"
"PH1 1BN","PH1  1BN","PH1 1BN","198001","","0","310393","0723074","1","S00126499","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011897","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A4",56.391407,-3.453069,"S99999999","S99999999","S23000009",6757,"S99999999","S99999999"
"PH1 1BP","PH1  1BP","PH1 1BP","198001","","0","310197","0722979","1","S00126497","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011895","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A3",56.390516,-3.456210,"S99999999","S99999999","S23000009",6915,"S99999999","S99999999"
"PH1 1BQ","PH1  1BQ","PH1 1BQ","200303","","0","310288","0723190","1","S00126502","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000348","S99999999","S01011895","S02002231","S34002370","S03000040","S99999999","S99999999","2","1C3",56.392428,-3.454809,"S99999999","S99999999","S23000009",6915,"S99999999","S99999999"
"PH1 1BS","PH1  1BS","PH1 1BS","198001","","0","310288","0723076","1","S00126497","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011895","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A3",56.391405,-3.454770,"S99999999","S99999999","S23000009",6915,"S99999999","S99999999"
"PH1 1BT","PH1  1BT","PH1 1BT","198001","","0","310229","0723071","1","S00126497","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011895","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A3",56.391348,-3.455723,"S99999999","S99999999","S23000009",6915,"S99999999","S99999999"
"PH1 1BU","PH1  1BU","PH1 1BU","198001","","1","310012","0722914","1","S00126501","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000349","S99999999","S01011902","S02002232","S34000564","S03000040","S99999999","S99999999","2","6A3",56.389897,-3.459183,"S99999999","S99999999","S23000009",5748,"S99999999","S99999999"
"PH1 1BW","PH1  1BW","PH1 1BW","198001","","0","310334","0722993","1","S00126499","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011897","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A4",56.390668,-3.453997,"S99999999","S99999999","S23000009",6757,"S99999999","S99999999"
"PH1 1BX","PH1  1BX","PH1 1BX","198001","","0","310230","0722878","1","S00126498","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011897","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A3",56.389615,-3.455641,"S99999999","S99999999","S23000009",6757,"S99999999","S99999999"
"PH1 1BY","PH1  1BY","PH1 1BY","198001","","0","310352","0722916","1","S00126499","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011897","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A4",56.389980,-3.453679,"S99999999","S99999999","S23000009",6757,"S99999999","S99999999"
"PH1 1BZ","PH1  1BZ","PH1 1BZ","198001","","0","310296","0722818","1","S00126499","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011897","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A4",56.389089,-3.454552,"S99999999","S99999999","S23000009",6757,"S99999999","S99999999"
"PH1 1DA","PH1  1DA","PH1 1DA","198001","","0","310237","0722757","1","S00126498","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011897","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A3",56.388530,-3.455486,"S99999999","S99999999","S23000009",6757,"S99999999","S99999999"
"PH1 1DB","PH1  1DB","PH1 1DB","198001","","0","310189","0722809","1","S00126498","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011897","S02002231","S34002370","S03000040","S99999999","S99999999","2","6A3",56.388988,-3.456281,"S99999999","S99999999","S23000009",6757,"S99999999","S99999999"
"PH1 1DD","PH1  1DD","PH1 1DD","198001","","0","310044","0722837","1","S00126494","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000349","S99999999","S01011901","S02002232","S34002370","S03000040","S99999999","S99999999","2","6A3",56.389212,-3.458639,"S99999999","S99999999","S23000009",6726,"S99999999","S99999999"
"PH1 1DE","PH1  1DE","PH1 1DE","198001","","0","309948","0722777","1","S00126496","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000349","S99999999","S01011901","S02002232","S34002370","S03000040","S99999999","S99999999","2","6A3",56.388646,-3.460170,"S99999999","S99999999","S23000009",6726,"S99999999","S99999999"
"PH1 1DF","PH1  1DF","PH1 1DF","198001","","0","309835","0722888","1","S00126496","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000349","S99999999","S01011901","S02002232","S34002370","S03000040","S99999999","S99999999","2","6A3",56.389630,-3.462040,"S99999999","S99999999","S23000009",6726,"S99999999","S99999999"
"PH1 1DG","PH1  1DG","PH1 1DG","198001","","0","310050","0722701","1","S00126495","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000350","S99999999","S01011901","S02002232","S34002370","S03000040","S99999999","S99999999","2","5B3",56.387991,-3.458495,"S99999999","S99999999","S23000009",6726,"S99999999","S99999999"
"PH1 1DH","PH1  1DH","PH1 1DH","198001","","0","309406","0722904","1","S00126490","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000349","S99999999","S01011900","S02002232","S34002240","S03000040","S99999999","S99999999","2","6A3",56.389691,-3.468992,"S99999999","S99999999","S23000009",6483,"S99999999","S99999999"
"PH1 1DJ","PH1  1DJ","PH1 1DJ","198104","","0","309313","0723013","1","S00126490","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000349","S99999999","S01011900","S02002232","S34002240","S03000040","S99999999","S99999999","2","6A3",56.390653,-3.470535,"S99999999","S99999999","S23000009",6483,"S99999999","S99999999"
"PH1 1DL","PH1  1DL","PH1 1DL","198001","","0","308722","0723623","1","S00126481","S99999999","S99999999","S12000048","S13003072","S08000027","S99999999","S92000003","S99999999","S14000054","S15000001","S09000005","S22000074","S03000040","S31000345","S99999999","S01011905","S02002233","S34002361","S03000040","S99999999","S99999999","2","6A3",56.396017,-3.480317,"S99999999","S99999999","S23000009",6316,"S99999999","S99999999"
