pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"SM1 1AA","SM1  1AA","SM1 1AA","199002","","1","525906","0163865","1","E00166822","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031644","E38000179","E34004707","E35000010","A1","3D2",51.359910,-0.193038,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AB","SM1  1AB","SM1 1AB","199912","200207","1","525907","0163866","1","E00166822","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031644","E38000179","E34004707","E35000010","A1","3D2",51.359919,-0.193024,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AD","SM1  1AD","SM1 1AD","199512","201502","0","525975","0164133","1","E00166824","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031646","E38000179","E34004707","E35000010","A1","3D2",51.362304,-0.191953,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AE","SM1  1AE","SM1 1AE","199507","200402","1","525907","0163866","1","E00166822","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031644","E38000179","E34004707","E35000010","A1","3D2",51.359919,-0.193024,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AF","SM1  1AF","SM1 1AF","199812","200207","1","525907","0163866","1","E00166822","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031644","E38000179","E34004707","E35000010","A1","3D2",51.359919,-0.193024,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AG","SM1  1AG","SM1 1AG","201004","","0","525738","0164066","1","E00166825","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031647","E38000179","E34004707","E35000010","A1","3D2",51.361754,-0.195379,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AH","SM1  1AH","SM1 1AH","201701","","0","525690","0164846","1","E00020843","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33036119","E38000179","E34004707","E35000010","A1","7A3",51.368773,-0.195768,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AJ","SM1  1AJ","SM1 1AJ","201704","","0","525700","0164909","1","E00020843","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33036119","E38000179","E34004707","E35000010","A1","7A3",51.369337,-0.195602,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AL","SM1  1AL","SM1 1AL","200112","","1","525906","0163865","1","E00166822","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031644","E38000179","E34004707","E35000010","A1","3D2",51.359910,-0.193038,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AN","SM1  1AN","SM1 1AN","201701","","0","525680","0164899","1","E00020843","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33036119","E38000179","E34004707","E35000010","A1","7A3",51.369252,-0.195892,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AP","SM1  1AP","SM1 1AP","201610","","0","525759","0164965","1","E00020883","E99999999","E99999999","E09000029","E05000565","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000565","E99999999","E01004146","E02000846","E33036094","E38000179","E34004707","E35000010","A1","4A3",51.369828,-0.194735,"E37000023","","E23000001",19230,"E57000003","E54000031"
"SM1 1AT","SM1  1AT","SM1 1AT","199301","","0","525824","0164264","1","E00166822","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031643","E38000179","E34004707","E35000010","A1","3D2",51.363514,-0.194074,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AW","SM1  1AW","SM1 1AW","199208","","0","525798","0164400","1","E00166823","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33036118","E38000179","E34004707","E35000010","A1","3C1",51.364742,-0.194400,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AX","SM1  1AX","SM1 1AX","199208","","0","525806","0164393","1","E00166823","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33036118","E38000179","E34004707","E35000010","A1","3C1",51.364677,-0.194262,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AY","SM1  1AY","SM1 1AY","199208","","0","525790","0164437","1","E00166823","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33036118","E38000179","E34004707","E35000010","A1","3C1",51.365077,-0.194501,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1AZ","SM1  1AZ","SM1 1AZ","199208","201802","0","525718","0164388","1","E00166823","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33036118","E38000179","E34004707","E35000010","A1","3C1",51.364652,-0.195552,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1BA","SM1  1BA","SM1 1BA","198001","201712","1","525928","0163847","1","E00166822","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031639","E38000179","E34004707","E35000010","A1","3D2",51.359744,-0.192729,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1BB","SM1  1BB","SM1 1BB","198001","","0","525948","0163883","1","E00166822","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031639","E38000179","E34004707","E35000010","A1","3D2",51.360063,-0.192429,"E37000023","","E23000001",10270,"E57000003","E54000031"
"SM1 1BD","SM1  1BD","SM1 1BD","199501","199606","1","525900","0163800","8","E00020934","E99999999","E99999999","E09000029","E05000567","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000567","E99999999","E01004156","E02000857","E33036149","E38000179","E34004707","E35000010","A1","2D1",51.359327,-0.193148,"E37000023","","E23000001",22628,"E57000003","E54000031"
"SM1 1BG","SM1  1BG","SM1 1BG","198001","","0","525919","0163916","1","E00166822","E99999999","E99999999","E09000029","E05000564","E18000007","E40000003","E92000001","E12000007","E14000984","E15000007","E24000016","E30000234","E16000068","E05000564","E99999999","E01004142","E02000851","E33031638","E38000179","E34004707","E35000010","A1","3D2",51.360366,-0.192834,"E37000023","","E23000001",10270,"E57000003","E54000031"
