pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"SR1 1AA","SR1  1AA","SR1 1AA","199002","199912","1","439867","0557268","1","E00170202","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000680","E38000176","E34004630","E35001196","A1","2B1",54.908542,-1.379728,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1AB","SR1  1AB","SR1 1AB","198301","199812","1","439949","0557094","1","E00170202","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000681","E38000176","E34004630","E35001196","A1","2B1",54.906972,-1.378474,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1AE","SR1  1AE","SR1 1AE","200710","","0","440075","0556873","1","E00044835","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008836","E02001806","E33000252","E38000176","E34004630","E35001196","A1","2A3",54.904976,-1.376539,"E37000025","","E23000007",166,"E56000017","E54000049"
"SR1 1AF","SR1  1AF","SR1 1AF","201802","","0","439730","0556975","1","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000687","E38000176","E34004630","E35001196","A1","2A3",54.905928,-1.381919,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1AG","SR1  1AG","SR1 1AG","201803","","0","439850","0556975","1","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000696","E38000176","E34004630","E35001196","A1","2A3",54.905919,-1.380048,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BA","SR1  1BA","SR1 1BA","198001","","0","439903","0557119","1","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000697","E38000176","E34004630","E35001196","A1","2A3",54.907200,-1.379188,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BB","SR1  1BB","SR1 1BB","198001","","1","439707","0557131","1","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000694","E38000176","E34004630","E35001196","A1","2A3",54.907324,-1.382243,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BD","SR1  1BD","SR1 1BD","198001","199501","1","439900","0557100","8","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000697","E38000176","E34004630","E35001196","A1","2A3",54.907030,-1.379237,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BE","SR1  1BE","SR1 1BE","198001","199405","1","439800","0557000","8","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000696","E38000176","E34004630","E35001196","A1","2A3",54.906139,-1.380810,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BG","SR1  1BG","SR1 1BG","198001","199507","1","439900","0557100","8","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000697","E38000176","E34004630","E35001196","A1","2A3",54.907030,-1.379237,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BH","SR1  1BH","SR1 1BH","200601","","0","439943","0557098","1","E00170202","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000681","E38000176","E34004630","E35001196","A1","2B1",54.907017,-1.378580,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BJ","SR1  1BJ","SR1 1BJ","198001","199012","1","439900","0557100","8","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000697","E38000176","E34004630","E35001196","A1","2A3",54.907030,-1.379237,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BL","SR1  1BL","SR1 1BL","200012","","0","439919","0557074","1","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000697","E38000176","E34004630","E35001196","A1","2A3",54.906795,-1.378944,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BN","SR1  1BN","SR1 1BN","198001","","1","439865","0557121","1","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000697","E38000176","E34004630","E35001196","A1","2A3",54.907221,-1.379780,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BP","SR1  1BP","SR1 1BP","199101","199112","1","439800","0557800","8","E00170219","E99999999","E99999999","E08000024","E05001168","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001168","E99999999","E01008791","E02001796","E33001287","E38000176","E34004630","E35001196","A1","4A2",54.913328,-1.380700,"E37000025","","E23000007",3299,"E56000017","E54000049"
"SR1 1BQ","SR1  1BQ","SR1 1BQ","200403","200804","1","439898","0557118","1","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000697","E38000176","E34004630","E35001196","A1","2A3",54.907192,-1.379266,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BT","SR1  1BT","SR1 1BT","199007","199405","1","439800","0558600","8","E00044628","E99999999","E99999999","E08000024","E05001168","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001168","E99999999","E01008787","E02001796","E33001290","E38000176","E34004630","E35001196","A1","8B1",54.920517,-1.380590,"E37000025","","E23000007",13265,"E56000017","E54000049"
"SR1 1BU","SR1  1BU","SR1 1BU","198001","","0","439940","0557025","1","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000698","E38000176","E34004630","E35001196","A1","2A3",54.906353,-1.378624,"E37000025","","E23000007",3040,"E56000017","E54000049"
"SR1 1BW","SR1  1BW","SR1 1BW","198001","","1","439865","0557121","1","E00170234","E99999999","E99999999","E08000024","E05001158","E18000001","E40000001","E92000001","E12000001","E14000982","E15000001","E24000018","E30000275","E16000052","E05001158","E99999999","E01008703","E02001803","E33000697","E38000176","E34004630","E35001196","A1","2A3",54.907221,-1.379780,"E37000025","","E23000007",3040,"E56000017","E54000049"
