pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"TD1 1AA","TD1  1AA","TD1 1AA","199606","","1","349144","0636283","1","S00095287","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000224","S99999999","S01012275","S02002297","S34000083","S03000004","S99999999","S99999999","2","2A3",55.617464,-2.809010,"S99999999","S99999999","S23000009",2140,"S99999999","S99999999"
"TD1 1AB","TD1  1AB","TD1 1AB","200607","","1","348945","0636297","1","S00095781","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000223","S99999999","S01012275","S02002297","S34002455","S03000004","S99999999","S99999999","2","7A2",55.617569,-2.812172,"S99999999","S99999999","S23000009",2140,"S99999999","S99999999"
"TD1 1AZ","TD1  1AZ","TD1 1AZ","198212","199207","1","349144","0636283","8","S00095287","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000224","S99999999","S01012275","S02002297","S34000083","S03000004","S99999999","S99999999","2","2A3",55.617464,-2.809010,"S99999999","S99999999","S23000009",2140,"S99999999","S99999999"
"TD1 1BA","TD1  1BA","TD1 1BA","198001","","0","349183","0636213","1","S00095286","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000224","S99999999","S01012278","S02002298","S34000082","S03000004","S99999999","S99999999","2","2C1",55.616839,-2.808381,"S99999999","S99999999","S23000009",2097,"S99999999","S99999999"
"TD1 1BB","TD1  1BB","TD1 1BB","199801","199807","1","349212","0636185","8","S00095286","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000224","S99999999","S01012278","S02002298","S34000082","S03000004","S99999999","S99999999","2","2C1",55.616591,-2.807912,"S99999999","S99999999","S23000009",2097,"S99999999","S99999999"
"TD1 1BD","TD1  1BD","TD1 1BD","198001","","0","349292","0636125","1","S00095286","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000224","S99999999","S01012278","S02002298","S34000082","S03000004","S99999999","S99999999","2","2C1",55.616060,-2.806631,"S99999999","S99999999","S23000009",2097,"S99999999","S99999999"
"TD1 1BE","TD1  1BE","TD1 1BE","198001","","1","349149","0636267","1","S00095287","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000224","S99999999","S01012275","S02002297","S34000083","S03000004","S99999999","S99999999","2","2A3",55.617321,-2.808927,"S99999999","S99999999","S23000009",2140,"S99999999","S99999999"
"TD1 1BG","TD1  1BG","TD1 1BG","198001","","1","349241","0636128","1","S00095286","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000224","S99999999","S01012278","S02002298","S34000082","S03000004","S99999999","S99999999","2","2C1",55.616082,-2.807441,"S99999999","S99999999","S23000009",2097,"S99999999","S99999999"
"TD1 1BH","TD1  1BH","TD1 1BH","199706","","0","349269","0636211","1","S00095287","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000224","S99999999","S01012275","S02002297","S34000083","S03000004","S99999999","S99999999","2","2A3",55.616830,-2.807016,"S99999999","S99999999","S23000009",2140,"S99999999","S99999999"
"TD1 1BJ","TD1  1BJ","TD1 1BJ","198001","","0","349218","0636231","1","S00095287","S99999999","S99999999","S12000026","S13002763","S08000016","S99999999","S92000003","S99999999","S14000008","S15000001","S09000004","S22000063","S03000004","S31000224","S99999999","S01012275","S02002297","S34000083","S03000004","S99999999","S99999999","2","2A3",55.617005,-2.807825,"S99999999","S99999999","S23000009",2140,"S99999999","S99999999"
