pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"TF1 1AA","TF1  1AA","TF1 1AA","199002","","1","364963","0311493","1","E00071435","E99999999","E99999999","E06000020","E05009978","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009978","E99999999","E01014145","E02002939","E33018814","E38000183","E34004622","E35001307","C1","4A2",52.699970,-2.519917,"E37000036","","E23000016",7715,"E56000007","E54000011"
"TF1 1AB","TF1  1AB","TF1 1AB","199507","199912","1","364900","0311400","8","E00071377","E99999999","E99999999","E06000020","E05009976","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009976","E99999999","E01014133","E02002939","E33021542","E38000183","E34004622","E35001307","C1","5A1",52.699130,-2.520839,"E37000036","","E23000016",16946,"E56000007","E54000011"
"TF1 1AD","TF1  1AD","TF1 1AD","201504","","0","364988","0311179","1","E00071377","E99999999","E99999999","E06000020","E05009976","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009976","E99999999","E01014133","E02002939","E33021542","E38000183","E34004622","E35001307","C1","5A1",52.697149,-2.519513,"E37000036","","E23000016",16946,"E56000007","E54000011"
"TF1 1AE","TF1  1AE","TF1 1AE","201608","","0","364959","0311845","1","E00071435","E99999999","E99999999","E06000020","E05009978","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009978","E99999999","E01014145","E02002939","E33018813","E38000183","E34004622","E35001307","C1","4A2",52.703149,-2.520011,"E37000036","","E23000016",7715,"E56000007","E54000011"
"TF1 1AF","TF1  1AF","TF1 1AF","201609","","0","364948","0311805","1","E00071435","E99999999","E99999999","E06000020","E05009978","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009978","E99999999","E01014145","E02002939","E33018813","E38000183","E34004622","E35001307","C1","4A2",52.702789,-2.520170,"E37000036","","E23000016",7715,"E56000007","E54000011"
"TF1 1AG","TF1  1AG","TF1 1AG","201608","","0","364984","0311757","1","E00071435","E99999999","E99999999","E06000020","E05009978","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009978","E99999999","E01014145","E02002939","E33018813","E38000183","E34004622","E35001307","C1","4A2",52.702360,-2.519632,"E37000036","","E23000016",7715,"E56000007","E54000011"
"TF1 1AH","TF1  1AH","TF1 1AH","201804","","0","365102","0311790","1","E00071276","E99999999","E99999999","E06000020","E05009971","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009971","E99999999","E01014113","E02002938","E33021539","E38000183","E34004622","E35001307","C1","4B2",52.702664,-2.517889,"E37000036","","E23000016",2436,"E56000007","E54000011"
"TF1 1BA","TF1  1BA","TF1 1BA","198001","","0","364927","0311458","1","E00071435","E99999999","E99999999","E06000020","E05009978","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009978","E99999999","E01014145","E02002939","E33018812","E38000183","E34004622","E35001307","C1","4A2",52.699653,-2.520446,"E37000036","","E23000016",7715,"E56000007","E54000011"
"TF1 1BB","TF1  1BB","TF1 1BB","198001","199405","1","364900","0311400","8","E00071377","E99999999","E99999999","E06000020","E05009976","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009976","E99999999","E01014133","E02002939","E33021542","E38000183","E34004622","E35001307","C1","5A1",52.699130,-2.520839,"E37000036","","E23000016",16946,"E56000007","E54000011"
"TF1 1BD","TF1  1BD","TF1 1BD","198001","","0","365020","0311495","1","E00071435","E99999999","E99999999","E06000020","E05009978","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009978","E99999999","E01014145","E02002939","E33018815","E38000183","E34004622","E35001307","C1","4A2",52.699992,-2.519074,"E37000036","","E23000016",7715,"E56000007","E54000011"
"TF1 1BE","TF1  1BE","TF1 1BE","198001","","1","365025","0311507","1","E00071435","E99999999","E99999999","E06000020","E05009978","E18000005","E40000002","E92000001","E12000005","E14000992","E15000005","E24000038","E30000278","E16000071","E05009978","E99999999","E01014145","E02002939","E33018815","E38000183","E34004622","E35001307","C1","4A2",52.700100,-2.519001,"E37000036","","E23000016",7715,"E56000007","E54000011"
