pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"WC1A1AA","WC1A 1AA","WC1A 1AA","199002","199806","1","529900","0181400","8","E00174659","E99999999","E99999999","E09000007","E05000129","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000129","E99999999","E01000855","E02000193","E33031761","E38000027","E34004707","E35000865","A1","2D2",51.516595,-0.129279,"E37000023","","E23000001",16377,"E57000002","E54000028"
"WC1A1AB","WC1A 1AB","WC1A 1AB","200705","","0","530186","0181384","1","E00004522","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000919","E02000193","E33029339","E38000027","E34004707","E35000865","A1","2B2",51.516386,-0.125165,"E37000023","","E23000001",9904,"E57000002","E54000028"
"WC1A1AD","WC1A 1AD","WC1A 1AD","201711","","0","530250","0181492","1","E00004560","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000918","E02000193","E33029474","E38000027","E34004707","E35000865","A1","3B2",51.517343,-0.124178,"E37000023","","E23000001",9145,"E57000002","E54000028"
"WC1A1AH","WC1A 1AH","WC1A 1AH","199906","200302","1","529992","0181444","1","E00174659","E99999999","E99999999","E09000007","E05000129","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000129","E99999999","E01000855","E02000193","E33031771","E38000027","E34004707","E35000865","A1","2D2",51.516969,-0.127937,"E37000023","","E23000001",16377,"E57000002","E54000028"
"WC1A1AJ","WC1A 1AJ","WC1A 1AJ","198504","198612","1","529800","0181300","8","E00175194","E99999999","E99999999","E09000033","E05000649","E18000007","E40000003","E92000001","E12000007","E14000639","E15000007","E24000014","E30000234","E16000057","E05000649","E99999999","E01004763","E02000972","E33032003","E38000031","E34004707","E35000546","A1","2B2",51.515719,-0.130756,"E37000023","","E23000001",7808,"E57000003","E54000027"
"WC1A1AL","WC1A 1AL","WC1A 1AL","198504","199112","1","530000","0181400","8","E00004522","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000919","E02000193","E33029337","E38000027","E34004707","E35000865","A1","2B2",51.516572,-0.127838,"E37000023","","E23000001",9904,"E57000002","E54000028"
"WC1A1AP","WC1A 1AP","WC1A 1AP","198604","","0","530166","0181492","1","E00004561","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000918","E02000193","E33029478","E38000027","E34004707","E35000865","A1","2B2",51.517361,-0.125413,"E37000023","","E23000001",9145,"E57000002","E54000028"
"WC1A1AR","WC1A 1AR","WC1A 1AR","198604","199212","1","530100","0181500","8","E00004561","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000918","E02000193","E33029477","E38000027","E34004707","E35000865","A1","2B2",51.517448,-0.126361,"E37000023","","E23000001",9145,"E57000002","E54000028"
"WC1A1AS","WC1A 1AS","WC1A 1AS","198803","199912","1","529886","0181366","1","E00004530","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000919","E02000193","E33029397","E38000027","E34004707","E35000865","A1","3B3",51.516293,-0.129493,"E37000023","","E23000001",9904,"E57000002","E54000028"
"WC1A1AT","WC1A 1AT","WC1A 1AT","198607","199112","1","530000","0181400","8","E00004522","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000919","E02000193","E33029337","E38000027","E34004707","E35000865","A1","2B2",51.516572,-0.127838,"E37000023","","E23000001",9904,"E57000002","E54000028"
"WC1A1AW","WC1A 1AW","WC1A 1AW","201002","","0","530034","0181447","1","E00174659","E99999999","E99999999","E09000007","E05000129","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000129","E99999999","E01000855","E02000193","E33031771","E38000027","E34004707","E35000865","A1","2D2",51.516987,-0.127331,"E37000023","","E23000001",16377,"E57000002","E54000028"
"WC1A1AX","WC1A 1AX","WC1A 1AX","199301","201002","1","530034","0181447","1","E00174659","E99999999","E99999999","E09000007","E05000129","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000129","E99999999","E01000855","E02000193","E33031771","E38000027","E34004707","E35000865","A1","2D2",51.516987,-0.127331,"E37000023","","E23000001",16377,"E57000002","E54000028"
"WC1A1AY","WC1A 1AY","WC1A 1AY","199007","199606","1","530000","0181400","8","E00004522","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000919","E02000193","E33029337","E38000027","E34004707","E35000865","A1","2B2",51.516572,-0.127838,"E37000023","","E23000001",9904,"E57000002","E54000028"
"WC1A1AZ","WC1A 1AZ","WC1A 1AZ","200112","201207","1","529554","0181451","1","E00175193","E99999999","E99999999","E09000033","E05000649","E18000007","E40000003","E92000001","E12000007","E14000639","E15000007","E24000014","E30000234","E16000057","E05000649","E99999999","E01004763","E02000972","E33031977","E38000031","E34004707","E35000546","A1","2B2",51.517133,-0.134244,"E37000023","","E23000001",7808,"E57000003","E54000027"
"WC1A1BA","WC1A 1BA","WC1A 1BA","198001","","0","530292","0181457","1","E00004560","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000918","E02000193","E33029471","E38000027","E34004707","E35000865","A1","3B2",51.517019,-0.123586,"E37000023","","E23000001",9145,"E57000002","E54000028"
"WC1A1BE","WC1A 1BE","WC1A 1BE","198001","200208","1","530292","0181457","1","E00004560","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000918","E02000193","E33029471","E38000027","E34004707","E35000865","A1","3B2",51.517017,-0.123611,"E37000023","","E23000001",9145,"E57000002","E54000028"
"WC1A1BH","WC1A 1BH","WC1A 1BH","198001","","0","530181","0181450","1","E00004561","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000918","E02000193","E33029478","E38000027","E34004707","E35000865","A1","2B2",51.516980,-0.125213,"E37000023","","E23000001",9145,"E57000002","E54000028"
"WC1A1BJ","WC1A 1BJ","WC1A 1BJ","199712","199812","1","530111","0181475","6","E00004561","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000918","E02000193","E33029477","E38000027","E34004707","E35000865","A1","2B2",51.517221,-0.126212,"E37000023","","E23000001",9145,"E57000002","E54000028"
"WC1A1BL","WC1A 1BL","WC1A 1BL","198001","","0","530097","0181434","1","E00004522","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000919","E02000193","E33029339","E38000027","E34004707","E35000865","A1","2B2",51.516855,-0.126429,"E37000023","","E23000001",9904,"E57000002","E54000028"
"WC1A1BN","WC1A 1BN","WC1A 1BN","200012","","0","530176","0181447","1","E00004561","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000918","E02000193","E33029478","E38000027","E34004707","E35000865","A1","2B2",51.516954,-0.125286,"E37000023","","E23000001",9145,"E57000002","E54000028"
"WC1A1BQ","WC1A 1BQ","WC1A 1BQ","198001","199212","1","530000","0181400","8","E00004522","E99999999","E99999999","E09000007","E05000138","E18000007","E40000003","E92000001","E12000007","E14000750","E15000007","E24000014","E30000234","E16000047","E05000138","E99999999","E01000919","E02000193","E33029337","E38000027","E34004707","E35000865","A1","2B2",51.516572,-0.127838,"E37000023","","E23000001",9904,"E57000002","E54000028"
