BUASD13CD,BUASD13NM
E35000001,Sibford Ferris BUASD
E35000002,Redcar BUASD
E35000003,Kidderminster BUASD
E35000004,Chadderton BUASD
E35000005,Colyton BUASD
E35000006,Longbenton BUASD
E35000007,Elsenham BUASD
E35000008,Trowse Newton BUASD
E35000009,Mabe Burnthouse BUASD
E35000010,Sutton BUASD
E35000011,Hatton BUASD
E35000012,Watford BUASD
E35000013,Stevenage BUASD
E35000014,Farcet BUASD
E35000015,Ramsbottom BUASD
E35000016,Bradenstoke BUASD
E35000017,Queniborough BUASD
E35000018,Collingham BUASD
E35000019,Breadsall BUASD
E35000020,Tidbury Green BUASD
E35000021,Holmfirth BUASD
E35000022,North Benfleet BUASD
E35000023,Barrow Hill BUASD
E35000024,Shalmsford Street BUASD
E35000025,Feering BUASD
E35000026,Eye Green BUASD
E35000027,Chalford BUASD
E35000028,Brundall BUASD
E35000029,Wanborough BUASD
E35000031,Copster Green BUASD
E35000032,Church BUASD
E35000033,Bentley BUASD
E35000034,Drax BUASD
E35000035,Wednesbury BUASD
E35000036,Bursledon BUASD
E35000037,Hyde (Tameside) BUASD
E35000038,Kilburn BUASD
E35000039,Swanland BUASD
E35000040,Ironville BUASD
E35000041,Sedbury BUASD
E35000042,Clayton-le-Moors BUASD
E35000043,Birstall BUASD
E35000044,Urmston BUASD
E35000045,Littlewick Green BUASD
E35000046,Billington BUASD
E35000047,Midhurst BUASD
E35000048,Elmbridge Village BUASD
E35000049,Lingwood BUASD
E35000050,Poynton BUASD
E35000051,York BUASD
E35000052,Hindley BUASD
E35000053,Stretton BUASD
E35000054,Claydon BUASD
E35000055,Horspath BUASD
E35000056,Duffield BUASD
E35000057,Innsworth BUASD
E35000058,Lewisham BUASD
E35000059,Yarmouth BUASD
E35000060,Bicknacre BUASD
E35000061,Leeming Bar BUASD
E35000062,New Hartley BUASD
E35000063,Hill Dale BUASD
E35000064,Uppermill BUASD
E35000065,Shaldon BUASD
E35000066,Great Knowley BUASD
E35000067,Seaton Delaval BUASD
E35000068,Coddington BUASD
E35000069,Sedgley BUASD
E35000070,Sandy BUASD
E35000071,Launceston BUASD
E35000072,Brinsley BUASD
E35000073,Elton BUASD
E35000074,Kensington and Chelsea BUASD
E35000075,Stock BUASD
E35000076,Trewoon BUASD
E35000077,Sonning Common BUASD
E35000078,Great Moulton BUASD
E35000079,Gorleston-on-Sea BUASD
E35000080,Maynard's Green BUASD
E35000081,Wootton (Bedford) BUASD
E35000082,Broadbridge Heath BUASD
E35000083,North Ascot BUASD
E35000084,Walton-on-the-Naze BUASD
E35000085,West Hendred BUASD
E35000086,Sprotbrough BUASD
E35000087,Meare Green BUASD
E35000088,Borrowash BUASD
E35000089,Catsfield BUASD
E35000090,Yaverland BUASD
E35000091,St Merryn Holiday Village BUASD
E35000092,Dunscroft BUASD
E35000093,Ravenshall BUASD
E35000094,Great Kingshill BUASD
E35000095,Wandsworth BUASD
E35000096,Norton BUASD
E35000097,Whiteshill BUASD
E35000098,Halstead BUASD
E35000099,Effingham BUASD
E35000100,Hardington Mandeville BUASD
E35000101,Fence Houses BUASD
E35000102,Gastard BUASD
E35000103,Cliffe BUASD
E35000104,Ware BUASD
E35000105,Itchen Abbas BUASD
E35000106,Northam BUASD
E35000107,Walton BUASD
E35000108,Farnborough BUASD
E35000109,Clutton BUASD
E35000110,Rowhedge BUASD
E35000111,Fordingbridge BUASD
E35000112,Birdwell BUASD
E35000113,Great Corby BUASD
E35000114,Baldock BUASD
E35000115,Letchworth Garden City BUASD
E35000116,Nether Padley BUASD
E35000117,Lower Farringdon BUASD
E35000118,Worsthorne BUASD
E35000119,Goosnargh BUASD
E35000120,Chorley BUASD
E35000121,Guiseley BUASD
E35000122,Waverton BUASD
E35000123,Sharpthorne BUASD
E35000124,Mundford BUASD
E35000125,Maidenhead BUASD
E35000126,Fishbourne BUASD
E35000127,Little Shelford BUASD
E35000128,New Longton BUASD
E35000129,Hartley (Tunbridge Wells) BUASD
E35000130,Perranporth BUASD
E35000131,Basingstoke BUASD
E35000132,Causeway End BUASD
E35000133,Chipping Campden BUASD
E35000134,Little Irchester BUASD
E35000135,Swanley BUASD
E35000136,Horwich BUASD
E35000137,Thornton (Wyre) BUASD
E35000138,Ruddington BUASD
E35000139,Minster (Thanet) BUASD
E35000140,Westfield BUASD
E35000141,Chorleywood BUASD
E35000142,Shevington Vale BUASD
E35000143,South Harting BUASD
E35000144,Hemingford Grey BUASD
E35000145,Broadmayne BUASD
E35000146,Hedon BUASD
E35000147,Newlyn BUASD
E35000148,Worthing BUASD
E35000149,Hackleton BUASD
E35000150,Hipsburn BUASD
E35000151,Eye (City of Peterborough) BUASD
E35000152,Tiptoe BUASD
E35000153,Saltdean BUASD
E35000154,Great Blakenham BUASD
E35000155,Crockenhill BUASD
E35000156,Bottom Boat BUASD
E35000157,Romiley BUASD
E35000158,Clifton (City of Nottingham) BUASD
E35000159,South Elmsall BUASD
E35000160,Bignall End BUASD
E35000161,Lambeth BUASD
E35000162,Wretton BUASD
E35000163,Nutley BUASD
E35000164,Cheswick Green BUASD
E35000165,Hutton Rudby BUASD
E35000166,Ashton-in-Makerfield BUASD
E35000167,Dunholme BUASD
E35000168,Islington BUASD
E35000169,Frinton-on-Sea BUASD
E35000170,Prescot BUASD
E35000171,Devoran BUASD
E35000172,Morgan's Vale BUASD
E35000173,Sale BUASD
E35000174,Barnt Green BUASD
E35000175,South Kirkby BUASD
E35000176,Hartfield BUASD
E35000177,South Horrington BUASD
E35000178,Compton BUASD
E35000179,Barnby Dun BUASD
E35000180,Botley (Chiltern) BUASD
E35000181,Eccles BUASD
E35000182,Welton BUASD
E35000183,Cottingham BUASD
E35000184,Grain BUASD
E35000185,Blunsdon St Andrew BUASD
E35000186,Distington BUASD
E35000187,Newburgh BUASD
E35000188,Ramsden Heath BUASD
E35000189,Ruddington Grange BUASD
E35000190,Sunningwell BUASD
E35000191,Dewsbury BUASD
E35000192,Flax Bourton BUASD
E35000193,Syston BUASD
E35000194,Morley BUASD
E35000195,Bickershaw BUASD
E35000196,Staining BUASD
E35000197,Lyneham Airfield BUASD
E35000198,Gillingham BUASD
E35000199,Tollerton BUASD
E35000200,Wargrave BUASD
E35000201,Lynemouth BUASD
E35000202,Pelton BUASD
E35000203,Rothwell BUASD
E35000204,Althorpe BUASD
E35000205,Coldfair Green BUASD
E35000206,Reepham BUASD
E35000207,Aldershot BUASD
E35000208,Ovingham BUASD
E35000209,Puriton BUASD
E35000210,Long Duckmanton BUASD
E35000211,Sibford Gower BUASD
E35000212,Weldon BUASD
E35000213,Hale (New Forest) BUASD
E35000214,Weeley BUASD
E35000215,Old Arley BUASD
E35000216,Cradley BUASD
E35000217,Netherne On-The-Hill BUASD
E35000218,Dunstable BUASD
E35000219,Trimley St Mary BUASD
E35000220,Braunton BUASD
E35000221,Warden BUASD
E35000222,Great Chishill BUASD
E35000223,Marldon BUASD
E35000224,Hazel Grove BUASD
E35000225,Northfleet BUASD
E35000226,Betchworth BUASD
E35000227,Fen End BUASD
E35000228,Halton BUASD
E35000229,New Milton BUASD
E35000230,Heckmondwike BUASD
E35000231,Dormansland BUASD
E35000232,Chew Moor BUASD
E35000233,Ottershaw BUASD
E35000234,Caldecote BUASD
E35000235,Brookwood BUASD
E35000236,Ashtead BUASD
E35000237,Fradley BUASD
E35000238,Southam BUASD
E35000239,Wyke BUASD
E35000240,Middleton (Ryedale) BUASD
E35000241,The Sands BUASD
E35000242,St Day BUASD
E35000243,Altrincham BUASD
E35000244,Moulsford BUASD
E35000245,Cleadon BUASD
E35000246,Hullbridge BUASD
E35000247,Bilston BUASD
E35000248,Woodbridge BUASD
E35000249,Bramford BUASD
E35000250,Steeton BUASD
E35000251,Winchester BUASD
E35000252,Histon BUASD
E35000253,Chelwood Gate BUASD
E35000254,Denton BUASD
E35000255,Plymstock BUASD
E35000256,Ash BUASD
E35000257,Irlam BUASD
E35000258,Bedworth BUASD
E35000259,Southwell BUASD
E35000260,Brighton and Hove BUASD
E35000261,Grayswood BUASD
E35000262,Whickham BUASD
E35000263,Lostock Gralam BUASD
E35000264,Eastchurch BUASD
E35000265,Sunniside BUASD
E35000266,Tutts Clump BUASD
E35000267,Kirkby-in-Ashfield BUASD
E35000268,Yatton BUASD
E35000269,Woodham Ferrers BUASD
E35000270,Denby Bottles BUASD
E35000271,North Littleton BUASD
E35000272,Lower Langford BUASD
E35000273,Campton BUASD
E35000274,Buckfastleigh BUASD
E35000275,Abbotts Ann BUASD
E35000276,Tickton BUASD
E35000277,Middleton (Rochdale) BUASD
E35000278,Swinton BUASD
E35000279,Sandhurst BUASD
E35000280,St Austell BUASD
E35000281,Swallownest BUASD
E35000282,Stoke Poges BUASD
E35000283,Streatley BUASD
E35000284,Dudley (Dudley) BUASD
E35000285,Reydon BUASD
E35000286,Charlton Mackrell BUASD
E35000287,Finchampstead BUASD
E35000288,Pilsley BUASD
E35000289,Great Harwood BUASD
E35000290,Witton Gilbert BUASD
E35000291,Tintwistle BUASD
E35000292,Clayton West BUASD
E35000293,Potten End BUASD
E35000294,Groby BUASD
E35000295,Knottingley BUASD
E35000296,Stowupland BUASD
E35000297,Cullompton BUASD
E35000298,Wednesfield BUASD
E35000299,Stoke Ferry BUASD
E35000300,Waterbeach BUASD
E35000301,Farley Green BUASD
E35000302,Bay View BUASD
