CALNCV18CD,CALNCV18NM
E56000003,West Yorkshire and Harrogate
E56000004,"Humber, Coast and Vale"
E56000005,Cheshire and Merseyside
E56000006,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick"
E56000007,West Midlands
E56000008,East Midlands
E56000009,East of England
E56000010,South East London
E56000011,Kent and Medway
E56000012,Surrey and Sussex
E56000013,Thames Valley
E56000014,Peninsula
E56000015,"Somerset, Wiltshire, Avon and Gloucestershire"
E56000016,Wessex
E56000017,North East and Cumbria
E56000018,Lancashire and South Cumbria
E57000001,National Cancer Vanguard: Greater Manchester
E57000002,National Cancer Vanguard: North Central and North East London
E57000003,National Cancer Vanguard: North West and South West London
