DZ11CD,IMD16
S01006506,5272
S01006507,4838
S01006508,6321
S01006509,5363
S01006510,4049
S01006511,6668
S01006512,5865
S01006513,5845
S01006514,6808
S01006515,6322
S01006516,6259
S01006517,5843
S01006518,6607
S01006519,6404
S01006520,6456
S01006521,6517
S01006522,6785
S01006523,6496
S01006524,3982
S01006525,6333
S01006526,2599
S01006527,1957
S01006528,3912
S01006529,4128
S01006530,2531
S01006531,2240
S01006532,6177
S01006533,6930
S01006534,6908
S01006535,6796
S01006536,6693
S01006537,6538
S01006538,6529
S01006539,6823
S01006540,6427
S01006541,6824
S01006542,6891
S01006543,6419
S01006544,6804
S01006545,6486
S01006546,6884
S01006547,3598
S01006548,6570
S01006549,6766
S01006550,6892
S01006551,1901
S01006552,6047
S01006553,4820
S01006554,4290
S01006555,1605
S01006556,2592
S01006557,1757
S01006558,6587
S01006559,6958
S01006560,6817
S01006561,6975
S01006562,5133
S01006563,5484
S01006564,2834
S01006565,3870
S01006566,6265
S01006567,2616
S01006568,6507
S01006569,6303
S01006570,6946
S01006571,6244
S01006572,6889
S01006573,6949
S01006574,6913
S01006575,6956
S01006576,6897
S01006577,6850
S01006578,5441
S01006579,6328
S01006580,6522
S01006581,6955
S01006582,3356
S01006583,6168
S01006584,6802
S01006585,1842
S01006586,3290
S01006587,1506
S01006588,4362
S01006589,3514
S01006590,3220
S01006591,4041
S01006592,6803
S01006593,6795
S01006594,6487
S01006595,6095
S01006596,6482
S01006597,3956
S01006598,6772
S01006599,4577
S01006600,6291
S01006601,5426
S01006602,6923
S01006603,1908
S01006604,3246
S01006605,1920
S01006606,4734
S01006607,3677
S01006608,5354
S01006609,3473
S01006610,2518
S01006611,2730
S01006612,4796
S01006613,6415
S01006614,6585
S01006615,6525
S01006616,6277
S01006617,5404
S01006618,6232
S01006619,5456
S01006620,5304
S01006621,5027
S01006622,6014
S01006623,3012
S01006624,2963
S01006625,3606
S01006626,1814
S01006627,1343
S01006628,2932
S01006629,1283
S01006630,1599
S01006631,1497
S01006632,1317
S01006633,1122
S01006634,500
S01006635,2055
S01006636,675
S01006637,3440
S01006638,2766
S01006639,1835
S01006640,6488
S01006641,3641
S01006642,4957
S01006643,5566
S01006644,4291
S01006645,1260
S01006646,4907
S01006647,2606
S01006648,4379
S01006649,3043
S01006650,3767
S01006651,3147
S01006652,4826
S01006653,6069
S01006654,1782
S01006655,3023
S01006656,4580
S01006657,2574
S01006658,2307
S01006659,6368
S01006660,3344
S01006661,5552
S01006662,2796
S01006663,6664
S01006664,4987
S01006665,6302
S01006666,948
S01006667,725
S01006668,5595
S01006669,3732
S01006670,4194
S01006671,6142
S01006672,2072
S01006673,2562
S01006674,1299
S01006675,1234
S01006676,1065
S01006677,998
S01006678,1962
S01006679,5617
S01006680,1399
S01006681,1753
S01006682,1535
S01006683,1806
S01006684,545
S01006685,1352
S01006686,2845
S01006687,2794
S01006688,4712
S01006689,6969
S01006690,4338
S01006691,6208
S01006692,5644
S01006693,4548
S01006694,1614
S01006695,3139
S01006696,2467
S01006697,2375
S01006698,1422
S01006699,5105
S01006700,2784
S01006701,1633
S01006702,4307
S01006703,2025
S01006704,1148
S01006705,2128
S01006706,2674
S01006707,1051
S01006708,3080
S01006709,2641
S01006710,3077
S01006711,1147
S01006712,3462
S01006713,2426
S01006714,2819
S01006715,1499
S01006716,1682
S01006717,2218
S01006718,2263
S01006719,2023
S01006720,1657
S01006721,1950
S01006722,2419
S01006723,2362
S01006724,785
S01006725,1713
S01006726,1071
S01006727,893
S01006728,2461
S01006729,878
S01006730,2758
S01006731,1616
S01006732,5050
S01006733,6896
S01006734,6826
S01006735,6813
S01006736,6241
S01006737,6071
S01006738,4852
S01006739,5019
S01006740,3278
S01006741,3072
