NPARK16CD,NPARK16NM
E26000001,Dartmoor National Park
E26000002,Exmoor National Park
E26000004,Northumberland National Park
E26000005,North York Moors National Park
E26000006,Peak District National Park
E26000007,The Broads Authority
E26000009,New Forest National Park
E26000010,South Downs National Park
E26000011,Lake District National Park
E26000012,Yorkshire Dales National Park
E99999999,(pseudo) England (non-National Park)
L99999999,(pseudo) Channel Islands
M99999999,(pseudo) Isle of Man
N99999999,(pseudo) Northern Ireland
S21000002,The Loch Lomond and the Trossachs National Park
S21000003,The Cairngorms National Park
S99999999,(pseudo) Scotland (non-National Park)
W18000001,Brecon Beacons National Park
W18000002,Pembrokeshire Coast National Park
W18000003,Snowdonia National Park
W31000001,Wales (non-National Park)
